"Jahr";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";
"Land";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";
"Thema";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";
"Januar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1069,3";"1043,8";"1008,5";"975,1";"946,1";"837,7";"872,6";"933,4";
"Februar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"987,8";"934,4";"948,3";"896,9";"864,4";"783,7";"804,6";"851,1";
"März";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1039,2";"997,2";"954,0";"967,7";"938,2";"843,3";"827,4";"871,6";
"April";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"959,6";"905,4";"870,0";"894,5";"876,6";"769,4";"803,4";"842,8";
"Mai";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"978,5";"964,8";"886,6";"914,9";"855,5";"759,1";"785,3";"871,6";
"Juni";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"947,4";"920,2";"893,8";"902,1";"814,4";"752,3";"770,7";"855,9";
"Juli";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"962,1";"950,7";"916,7";"927,3";"841,7";"766,1";"812,7";"882,7";
"August";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"974,2";"972,5";"948,6";"937,1";"868,6";"765,2";"813,0";"850,9";
"September";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"923,4";"936,3";"923,1";"901,5";"811,4";"736,0";"801,4";"821,3";
"Oktober";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"972,5";"959,6";"963,8";"940,2";"801,6";"779,1";"848,4";"…";
"November";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1002,3";"986,7";"946,5";"932,8";"788,2";"807,0";"872,4";"…";
"Dezember";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1003,3";"999,2";"965,9";"955,4";"812,7";"814,1";"887,7";"…";
"Durchschnitt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"985,0";"964,3";"935,5";"928,8";"851,6";"784,4";"825,0";"...";
"Insgesamt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11819,5";"11571,0";"11225,8";"11145,5";"10219,4";"9413,0";"9899,6";"...";
"";
"(1) Energie- und Wasserversorgung - Abgabe an Letztverbraucher (Stromverbrauch)"
"Einheit";"Mio. kWh"
"Erläuterung";"Letztverbraucher sind Endabnehmer (Stromverbrauch im jeweiligen Bundesland). Zu ihnen gehören private Haushalte (einschließlich Handwerk und Kleingewerbe), gewerbliche Unternehmen und sonstige Abnehmer (z. B. Krankenhäuser, Schulen, Behörden, kommunale Einrichtungen). Ergebnisse im aktuellen Berichtsjahr vorläufig"
"Letzte Aktualisierung";"24.11.2025"
"© Statistisches Amt für Hamburg und Schleswig-Holstein: 2025"
