"Jahr";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";
"Land";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";
"Thema";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";
"Januar";"";"220,7";"302,6";"135,9";"140,6";"144,8";"139,8";"147,6";"135,9";"132,2";"138,4";"218,0";"200,6";"193,9";"205,1";"186,0";"490,0";"756,0";"1069,0";"720,0";"978,0";"626,0";"199,0";"204,0";"166,0";"180,0";"167,0";
"Februar";"";"168,7";"224,7";"123,9";"125,5";"128,6";"126,8";"129,9";"131,3";"127,1";"122,4";"185,2";"191,3";"182,5";"187,0";"160,0";"802,0";"721,0";"1019,0";"1071,0";"728,0";"327,0";"165,0";"150,0";"179,0";"145,0";"169,0";
"März";"";"194,2";"248,8";"115,6";"127,5";"140,2";"132,1";"140,8";"130,7";"130,9";"114,7";"192,9";"208,5";"163,6";"188,2";"153,0";"790,0";"868,0";"982,0";"960,0";"359,0";"541,0";"232,0";"186,0";"176,0";"148,0";"139,0";
"April";"";"191,8";"188,1";"124,0";"136,9";"127,0";"135,1";"119,2";"141,8";"139,0";"112,1";"170,6";"182,9";"158,9";"154,4";"151,0";"686,0";"904,0";"565,0";"627,0";"495,0";"167,0";"139,0";"137,0";"115,0";"106,0";"106,0";
"Mai";"";"251,6";"246,0";"120,1";"138,7";"119,1";"103,1";"117,0";"129,3";"126,4";"127,9";"192,1";"195,4";"159,0";"137,0";"151,0";"683,0";"448,0";"732,0";"720,0";"897,0";"96,0";"84,0";"131,0";"90,0";"71,0";"65,0";
"Juni";"";"162,3";"155,8";"107,7";"117,1";"131,7";"104,2";"122,2";"113,1";"117,8";"148,0";"142,3";"167,4";"160,7";"133,7";"150,0";"752,0";"537,0";"738,0";"880,0";"680,0";"256,0";"159,0";"141,0";"59,0";"70,0";"49,0";
"Juli";"";"60,9";"78,7";"101,8";"106,9";"107,8";"87,1";"26,8";"116,8";"105,2";"159,1";"103,2";"173,3";"161,8";"157,0";"177,0";"953,0";"605,0";"922,0";"1091,0";"820,0";"271,0";"91,0";"117,0";"45,0";"36,0";"34,0";
"August";"";"58,2";"29,7";"53,4";"59,1";"47,6";"67,7";"23,2";"60,4";"57,6";"90,7";"86,8";"123,4";"74,1";"135,7";"137,0";"567,0";"946,0";"827,0";"345,0";"477,0";"179,0";"55,0";"40,0";"26,0";"34,0";"38,0";
"September";"";"234,3";"127,7";"127,1";"144,0";"117,8";"130,2";"39,1";"108,9";"104,6";"204,5";"154,5";"165,3";"51,8";"97,9";"69,0";"558,0";"626,0";"802,0";"635,0";"384,0";"355,0";"119,0";"136,0";"46,0";"61,0";"75,0";
"Oktober";"";"140,9";"133,5";"139,0";"146,0";"142,3";"134,1";"127,8";"139,9";"137,3";"191,5";"197,4";"184,5";"123,4";"157,7";"130,0";"605,0";"934,0";"714,0";"984,0";"557,0";"135,0";"155,0";"117,0";"111,0";"100,0";"…";
"November";"";"190,9";"121,2";"129,5";"127,9";"128,9";"129,3";"138,0";"136,3";"128,5";"184,8";"190,5";"184,3";"167,2";"168,0";"159,0";"404,0";"1019,0";"1013,0";"1091,0";"1032,0";"476,0";"189,0";"153,0";"134,0";"151,0";"…";
"Dezember";"190,9";"215,3";"130,3";"135,6";"137,0";"131,6";"143,8";"140,0";"140,2";"137,2";"200,0";"210,7";"189,7";"196,0";"167,0";"181,0";"386,0";"875,0";"769,0";"803,0";"627,0";"482,0";"204,0";"199,0";"149,0";"155,0";"…";
"Durchschnitt";"";"174,2";"165,6";"117,8";"125,6";"122,3";"119,4";"106,0";"123,7";"120,3";"149,5";"170,4";"180,6";"149,4";"157,4";"150,3";"639,7";"769,9";"846,0";"827,3";"669,5";"325,9";"149,3";"142,6";"108,0";"104,8";"...";
"Insgesamt";"";"2089,8";"1987,1";"1413,6";"1507,2";"1467,4";"1433,3";"1271,6";"1484,6";"1443,8";"1794,1";"2044,2";"2166,6";"1792,9";"1888,7";"1804,0";"7676,0";"9239,0";"10152,0";"9927,0";"8034,0";"3911,0";"1791,0";"1711,0";"1296,0";"1257,0";"...";
"";
"(1) Energie- und Wasserversorgung - Elektrizitätserzeugung (brutto)"
"Einheit";"Mio. kWh"
"Erläuterung";"Die Elektrizitätserzeugung bildet die gesamte Stromerzeugung einer Erzeugungsanlage ab. Nach Abzug des Eigenverbrauch der Erzeugungsanlage ergibt sich die Nettostromerzeugung = Netzeinspeisung. Ab dem Jahr 2018 Anlagen mit einer Nettonennleistung ab 1 MWel oder eine Speicherkapazität ab 1 MWh, bis Ende 2017 mit einer elektrischen Engpassleistung ab 1 MW. Ergebnisse im aktuellen Berichtsjahr vorläufig."
"Letzte Aktualisierung";"24.11.2025"
"© Statistisches Amt für Hamburg und Schleswig-Holstein: 2025"
