"Jahr";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";
"Land";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";
"Thema";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";
"Januar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"48,5";"51,3";"53,6";"48,4";"54,2";"51,9";"43,7";"41,2";
"Februar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"33,6";"42,1";"60,3";"46,4";"58,5";"40,2";"39,7";"33,9";
"März";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"46,7";"61,6";"50,5";"51,6";"39,6";"47,2";"42,3";"40,2";
"April";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"31,7";"31,5";"37,1";"41,9";"40,2";"35,6";"40,6";"32,7";
"Mai";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"36,9";"42,7";"37,2";"42,8";"35,8";"28,9";"41,3";"45,2";
"Juni";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"33,1";"35,8";"22,6";"32,5";"32,8";"22,0";"33,6";"46,7";
"Juli";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"31,4";"38,0";"34,5";"31,7";"37,4";"26,3";"31,1";"42,3";
"August";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"28,6";"31,4";"33,4";"35,4";"27,2";"22,1";"36,6";"41,8";
"September";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34,4";"36,2";"31,4";"29,9";"35,6";"21,1";"39,9";"44,1";
"Oktober";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"39,9";"43,4";"43,9";"39,3";"35,5";"34,2";"38,9";"…";
"November";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"41,0";"38,8";"48,4";"40,0";"39,6";"35,1";"41,7";"…";
"Dezember";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"48,5";"40,1";"46,3";"41,7";"39,3";"40,8";"50,1";"…";
"Durchschnitt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37,9";"41,1";"41,6";"40,1";"39,6";"33,8";"40,0";"...";
"Insgesamt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"454,4";"493,0";"499,1";"481,5";"475,7";"405,4";"479,6";"...";
"";
"(1) Energie- und Wasserversorgung - Stromeinspeisung - Erneuerbare Energien"
"Einheit";"Mio. kWh"
"Erläuterung";"Einspeisung = Strom aus Erzeugungsanlagen. der an ein Stromnetz zur allgemeinen Versorgung abgeben wird. Erneuerbare Energieträger sind natürliche Energievorkommen, die auf permanent vorhandene oder auf sich in überschaubaren Zeiträumen regenerierende Energieströme zurückzuführen sind. Zu den Erneuerbaren Energien zählen Wasserkraft, Windkraft, Solarenergie, Biomasse, Klärgas und Deponiegas, Geothermie und Umgebungswärme. Gemäß Länderarbeitskreis Energiebilanzen werden Hausmüll und hausmüllähnliche Abfälle zu jeweils 50 Prozent auf einen biogenen (= erneuerbar) und einen nicht biogenen (= fossil) Anteil aufgeteilt. Ergebnisse im aktuellen Berichtsjahr vorläufig."
"Letzte Aktualisierung";"24.11.2025"
"© Statistisches Amt für Hamburg und Schleswig-Holstein: 2025"
