"Jahr";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";
"Land";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";
"Thema";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";
"Januar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"662,3";"878,1";"556,3";"163,7";"171,2";"136,5";"157,8";"137,8";
"Februar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"984,9";"658,3";"259,0";"133,4";"122,1";"149,0";"123,9";"137,4";
"März";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"881,8";"302,1";"476,1";"196,8";"156,0";"145,5";"120,3";"109,6";
"April";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"568,3";"428,6";"137,7";"115,9";"116,1";"98,1";"81,3";"82,1";
"Mai";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"652,3";"803,8";"71,2";"64,3";"107,0";"76,3";"47,2";"44,6";
"Juni";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"806,5";"619,0";"219,6";"130,0";"113,3";"51,9";"51,1";"30,3";
"Juli";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1047,5";"739,8";"235,5";"66,2";"90,3";"38,9";"27,0";"18,0";
"August";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"628,0";"421,3";"148,5";"30,1";"28,3";"23,7";"16,2";"20,5";
"September";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"571,3";"339,2";"307,0";"86,6";"110,6";"38,8";"40,3";"53,0";
"Oktober";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"891,7";"489,3";"104,3";"122,1";"92,9";"94,6";"73,9";"…";
"November";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1027,1";"952,0";"413,6";"156,9";"130,0";"114,7";"119,7";"…";
"Dezember";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"750,4";"547,4";"418,0";"169,8";"165,4";"125,1";"123,7";"…";
"Durchschnitt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"789,3";"598,2";"278,9";"119,6";"116,9";"91,1";"81,9";"...";
"Insgesamt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9471,9";"7179,0";"3346,9";"1435,7";"1403,2";"1093,1";"982,4";"...";
"";
"(1) Energie- und Wasserversorgung - Stromeinspeisung - Fossile und andere Energieträger"
"Einheit";"Mio. kWh"
"Erläuterung";"Einspeisung = Strom aus Erzeugungsanlagen, der an ein Stromnetz zur allgemeinen Versorgung abgeben wird. Fossile Energieträger sind solche Energieträger, die beim Abbau von toten Pflanzen und Tieren entstanden sind. Hierzu gehören insbesondere wie Kohlen, Mineralöle und Erdgas. Gemäß Länderarbeitskreis Energiebilanzen werden Hausmüll und hausmüllähnliche Abfälle zu jeweils 50 Prozent auf einen biogenen (= erneuerbar) und einen nicht biogenen (= fossil) Anteil aufgeteilt. Ergebnisse im aktuellen Berichtsjahr vorläufig."
"Letzte Aktualisierung";"24.11.2025"
"© Statistisches Amt für Hamburg und Schleswig-Holstein: 2025"
