"Jahr";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";
"Land";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";
"Thema";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";
"Januar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"710,8";"929,4";"609,9";"212,1";"225,3";"188,4";"201,5";"179,0";
"Februar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1018,4";"700,4";"319,3";"179,8";"180,7";"189,2";"163,6";"171,3";
"März";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"928,5";"363,7";"526,6";"248,3";"195,6";"192,7";"162,6";"149,7";
"April";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"600,0";"460,1";"174,8";"157,8";"156,3";"133,8";"121,9";"114,8";
"Mai";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"689,1";"846,6";"108,3";"107,1";"142,7";"105,2";"88,5";"89,8";
"Juni";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"839,6";"654,8";"242,2";"162,5";"146,1";"73,9";"84,8";"77,0";
"Juli";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1078,8";"777,8";"269,9";"97,9";"127,7";"65,2";"58,1";"60,3";
"August";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"656,5";"452,8";"182,0";"65,5";"55,5";"45,8";"52,8";"62,4";
"September";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"605,7";"375,4";"338,4";"116,4";"146,2";"59,9";"80,2";"97,1";
"Oktober";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"931,7";"532,7";"148,2";"161,4";"128,4";"128,8";"112,8";"…";
"November";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1068,1";"990,8";"462,0";"196,9";"169,6";"149,8";"161,4";"…";
"Dezember";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"799,0";"587,5";"464,3";"211,5";"204,7";"165,9";"173,8";"…";
"Durchschnitt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"827,2";"639,3";"320,5";"159,8";"156,6";"124,9";"121,8";"...";
"Insgesamt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9926,2";"7672,0";"3845,9";"1917,2";"1878,8";"1498,7";"1462,0";"...";
"";
"(1) Energie- und Wasserversorgung - Stromeinspeisung - insgesamt"
"Einheit";"Mio. kWh"
"Erläuterung";"Einspeisung = Strom aus Erzeugungsanlagen, der an ein Stromnetz zur allgemeinen Versorgung abgeben wird. Ergebnisse im aktuellen Berichtsjahr vorläufig."
"Letzte Aktualisierung";"24.11.2025"
"© Statistisches Amt für Hamburg und Schleswig-Holstein: 2025"
