"Jahr";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";
"Land";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";"HH";
"Thema";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";
"Januar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";
"Februar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";
"März";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";
"April";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";
"Mai";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";
"Juni";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";
"Juli";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";
"August";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";
"September";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";
"Oktober";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"…";
"November";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"…";
"Dezember";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"…";
"Durchschnitt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"...";
"Insgesamt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"...";
"";
"(1) Energie- und Wasserversorgung - Stromeinspeisung - Kernenergie"
"Einheit";"Mio. kWh"
"Erläuterung";"Einspeisung = Strom aus Erzeugungsanlagen, der an ein Stromnetz zur allgemeinen Versorgung abgeben wird. Ergebnisse im aktuellen Berichtsjahr vorläufig."
"Letzte Aktualisierung";"24.11.2025"
"© Statistisches Amt für Hamburg und Schleswig-Holstein: 2025"
