Bezirk;Stadtteile;absolut 2023;aufgeklärt 2023;absolut 2024;aufgeklärt 2024;veränderung prozent
Bergedorf;Lohbrügge;2.977;1.429;2.518;1.266;-15,4
Bergedorf;Bergedorf;4.429;2.468;3.368;1.688;-24,0
Bergedorf;Curslack;138;78;119;56;-13,8
Bergedorf;Altengamme;42;18;49;25;16,7
Bergedorf;Neuengamme;98;42;76;33;-22,4
Bergedorf;Kirchwerder;272;119;222;96;-18,4
Bergedorf;Ochsenwerder;73;33;76;38;4,1
Bergedorf;Reitbrook;15;5;10;4;-33,3
Bergedorf;Allermöhe;759;78;437;81;-42,4
Bergedorf;Billwerder;362;234;401;277;10,8
Bergedorf;Moorfleet;262;90;260;128;-0,8
Bergedorf;Tatenberg;33;6;33;6;0,0
Bergedorf;Spadenland;21;13;15;11;-28,6
Bergedorf;Neuallermöhe;1.347;637;1.243;646;-7,7
