Bezirk;Stadtteile;absolut 2023;aufgeklärt 2023;absolut 2024;aufgeklärt 2024;veränderung prozent
Harburg;Harburg;8.062;5.049;8.327;5.231;3,3
Harburg;Neuland;237;97;203;97;-14,3
Harburg;Gut Moor;7;5;9;1;28,6
Harburg;Wilstorf;1.294;634;1.216;505;-6,0
Harburg;Rönneburg;145;64;149;56;2,8
Harburg;Langenbek;206;83;240;95;16,5
Harburg;Sinstorf;181;101;177;79;-2,2
Harburg;Marmstorf;370;168;381;147;3,0
Harburg;Eißendorf;1.145;488;1.155;465;0,9
Harburg;Heimfeld;2.034;857;1.817;783;-10,7
Harburg;Moorburg;72;27;55;23;-23,6
Harburg;Altenwerder;64;39;73;34;14,1
Harburg;Hausbruch;1.077;541;1.006;491;-6,6
Harburg;Neugraben-Fischbek;2.532;1.216;2.533;1.211;0,0
