Bezirk;Stadtteile;absolut 2023;aufgeklärt 2023;absolut 2024;aufgeklärt 2024;veränderung prozent
Mitte;Altstadt;9.747;6.432;7.737;4.955;-20,6
Mitte;Hafen City;1.247;316;1.315;342;5,5
Mitte;Neustadt;4.960;2.300;4.256;2.040;-14,2
Mitte;St. Pauli;15.943;7.344;14.982;6.495;-6,0
Mitte;St. Georg;30.089;22.249;30.945;22.664;2,8
Mitte;Hammerbrook;3.692;1.523;3.006;1.248;-18,6
Mitte;Borgfelde;914;342;728;262;-20,4
Mitte;Hamm;3.204;1.206;3.107;1.362;-3,0
Mitte;Horn;3.076;1.404;2.967;1.362;-3,5
Mitte;Billstedt;7.198;3.548;6.420;3.364;-10,8
Mitte;Billbrook;648;252;673;267;3,9
Mitte;Rothenburgsort;1.403;690;1.351;658;-3,7
Mitte;Veddel;883;321;676;343;-23,4
Mitte;Wilhelmsburg;5.280;2.558;5.211;2.436;-1,3
Mitte;Kleiner Grasbrook;205;106;214;100;4,4
Mitte;Steinwerder;119;61;106;50;-10,9
Mitte;Waltershof;110;49;106;49;-3,6
Mitte;Finkenwerder;694;320;673;265;-3,0
Mitte;Insel Neuwerk;1;1;1;0;0,0
