Bezirk;Stadtteile;absolut 2023;aufgeklärt 2023;absolut 2024;aufgeklärt 2024;veränderung prozent
Nord;Hoheluft-Ost;653;247;628;177;-3,8
Nord;Eppendorf;2.122;629;2.108;601;-0,7
Nord;Groß Borstel;709;262;812;214;14,5
Nord;Alsterdorf;1.221;582;1.254;655;2,7
Nord;Winterhude;4.097;1.212;3.915;1.233;-4,4
Nord;Uhlenhorst;1.229;348;1.256;376;2,2
Nord;Hohenfelde;1.546;685;1.334;554;-13,7
Nord;Barmbek-Süd;2.766;901;2.621;1.011;-5,2
Nord;Dulsberg;1.452;769;1.333;699;-8,2
Nord;Barmbek-Nord;3.839;1.630;3.549;1.583;-7,6
Nord;Ohlsdorf;1.468;570;1.209;470;-17,6
Nord;Fuhlsbüttel;4.020;3.009;4.311;3.342;7,2
Nord;Langenhorn;3.668;1.821;3.339;1.454;-9,0
