Bezirk;Stadtteile;absolut 2023;aufgeklärt 2023;absolut 2024;aufgeklärt 2024;veränderung prozent
Wandsbek;Eilbek;1.690;668;1.595;690;-5,6
Wandsbek;Wandsbek;4.191;2.000;3.924;1.863;-6,4
Wandsbek;Marienthal;1.674;788;1.617;758;-3,4
Wandsbek;Jenfeld;2.260;1.084;1.992;946;-11,9
Wandsbek;Tonndorf;1.146;555;1.169;523;2,0
Wandsbek;Farmsen-Berne;2.659;1.070;2.557;1.087;-3,8
Wandsbek;Bramfeld;2.839;1.340;2.877;1.243;1,3
Wandsbek;Steilshoop;1.510;728;1.259;505;-16,6
Wandsbek;Wellingsbüttel;410;116;402;111;-2,0
Wandsbek;Sasel;697;213;708;201;1,6
Wandsbek;Poppenbüttel;1.649;682;1.487;515;-9,8
Wandsbek;Hummelsbüttel;999;472;825;363;-17,4
Wandsbek;Lemsahl-Mellingstedt;221;49;206;68;-6,8
Wandsbek;Duvenstedt;194;64;197;69;1,5
Wandsbek;Wohldorf-Ohlstedt;175;35;177;38;1,1
Wandsbek;Bergstedt;341;148;314;131;-7,9
Wandsbek;Volksdorf;1.155;296;1.019;300;-11,8
Wandsbek;Rahlstedt;6.395;3.160;6.526;3.409;2,0
