Stadtteile,absolut_2023,aufgeklärt_2023,absolut_2024,aufgeklärt_2024
Altstadt,"9,747","6,432","7,737","4,955"
Hauptcity,"1,247","1,316","2,557","1,087"
Neustadt,"4,960","2,300","4,256","2,040"
St. Pauli,"15,943","7,344","14,982","6,495"
St. Georg,30.089,"22,249","30,945","22,664"
Hammerbrook,"3,692","1,523","3,006","1,248"
Borgfelde,914,342,728,262
Hamm,"3,204","1,206","3,107","1,362"
Horn,"3,076","1,404","2,967","1,362"
Billstedt,"7,198","3,548","6,420","3,364"
Billbrook,648,252,673,267
Rothenburgsort,"1,403",690,"1,351",658
Veddel,883,321,676,343
Wilhelmsburg,"5,280","2,558","5,211","2,436"
Kleiner Grasbrook,205,106,214,100
Steinwerder,119,61,106,50
Waltershof,110,49,106,49
Finkenwerder,694,320,673,265
Insel Neuwerk,1,1,1,0
Bezirk Mitte,"89,413","51,022","84,474","48,262"
